,Quadratic_T (RF),Quadratic_T (GB),HDD_CDD (RF),HDD_CDD (GB)
temp_today,0.03819743070688552,0.06805674011883986,,
temp_today_sq,0.026830001707136845,0.02730687689026771,,
temp_tom_fc,0.1852652674538178,0.1800576993534526,,
temp_tom_fc_sq,0.08283493301430395,0.08817357025988072,,
is_weekend,0.01079559446831609,0.017975538777698186,0.011053965012659341,0.018006538710525693
load_yday,0.6560767726495398,0.6184295745998609,0.6572269247090426,0.6239623598188903
CDD_today,,,0.025298264281632465,0.03385449426185886
HDD_today,,,0.03896960045552351,0.05781183733682793
CDD_tom_fc,,,0.09714522181839111,0.10988679642762825
HDD_tom_fc,,,0.17030602372275103,0.15647797344426898
